Lockdown Time,Lockup Time,cost,status£¨0 for unstable£¬1 for stable£©
2019/6/19 8:43,2019/6/19 11:51,5,1
2019/6/19 8:44,2019/6/19 8:44,0,0
2019/6/19 8:44,2019/6/19 15:22,10,1
2019/6/19 8:47,2019/6/19 8:50,0,1
2019/6/19 8:47,2019/6/19 8:47,0,1
2019/6/19 8:47,2019/6/19 17:06,10,1
2019/6/19 8:49,2019/6/19 11:57,0,1
2019/6/19 8:50,2019/6/19 8:58,0,1
2019/6/19 8:50,2019/6/19 17:07,10,1
2019/6/19 8:50,2019/6/19 13:26,5,1
2019/6/19 8:52,2019/6/19 8:59,0,1
2019/6/19 8:52,2019/6/19 8:59,0,1
2019/6/19 8:55,2019/6/19 19:56,10,1
2019/6/19 8:55,2019/6/19 8:59,0,1
2019/6/19 8:56,2019/6/19 8:56,0,1
2019/6/19 8:58,2019/6/19 8:58,0,1
2019/6/19 9:02,2019/6/19 11:56,5,1
2019/6/19 9:06,2019/6/19 9:14,0,1
2019/6/19 9:08,2019/6/19 15:39,10,1
2019/6/19 9:08,2019/6/19 9:20,0,1
2019/6/19 9:09,2019/6/19 9:20,0,1
2019/6/19 9:15,2019/6/19 9:55,0,1
2019/6/19 9:15,2019/6/19 9:15,0,1
2019/6/19 9:15,2019/6/19 14:04,5,1
2019/6/19 9:16,2019/6/19 9:17,0,1
2019/6/19 9:18,2019/6/19 9:18,0,1
2019/6/19 9:20,2019/6/19 13:23,5,1
2019/6/19 9:20,2019/6/19 9:20,0,1
2019/6/19 9:24,2019/6/19 13:45,5,1
2019/6/19 9:26,2019/6/19 15:52,10,1
2019/6/19 9:27,2019/6/19 10:01,0,1
2019/6/19 9:28,2019/6/19 10:01,0,0
2019/6/19 9:30,2019/6/19 9:30,0,1
2019/6/19 9:32,2019/6/19 9:33,0,1
2019/6/19 9:42,2019/6/19 9:49,0,1
2019/6/19 9:43,2019/6/19 9:44,0,1
2019/6/19 10:00,2019/6/19 15:05,10,1
2019/6/19 10:21,2019/6/19 15:40,10,1
2019/6/19 10:28,2019/6/19 11:30,5,1
2019/6/19 10:37,2019/6/19 11:11,0,1
2019/6/19 10:41,2019/6/19 10:42,0,1
2019/6/19 10:51,2019/6/19 11:38,0,1
2019/6/19 11:02,2019/6/19 17:00,10,1
2019/6/19 11:31,2019/6/19 17:10,10,1
2019/6/19 11:36,2019/6/19 13:18,5,1
2019/6/19 12:23,2019/6/19 17:12,5,1
2019/6/19 12:29,2019/6/19 12:29,0,1
2019/6/19 12:42,2019/6/19 12:42,0,1
2019/6/19 13:30,2019/6/19 13:31,0,1
2019/6/19 13:42,2019/6/19 16:10,5,1
2019/6/19 13:50,2019/6/19 13:50,0,1
2019/6/19 14:12,2019/6/19 14:12,0,1
2019/6/19 14:14,2019/6/19 14:52,0,1
2019/6/19 14:20,2019/6/19 16:20,5,1
2019/6/19 14:28,2019/6/19 14:28,0,1
2019/6/19 14:30,2019/6/19 14:30,0,1
2019/6/19 15:23,2019/6/19 15:51,0,1
2019/6/19 15:30,2019/6/19 15:30,0,1
2019/6/19 16:26,2019/6/19 19:44,5,1
2019/6/19 19:41,2019/6/19 20:13,0,1
2019/6/19 21:01,2019/6/20 2:05,10,1
2019/6/20 8:04,2019/6/20 18:15,10,1
2019/6/20 8:12,2019/6/20 17:43,10,1
2019/6/20 8:15,2019/6/20 17:12,10,1
2019/6/20 8:18,2019/6/20 20:37,10,1
2019/6/20 8:30,2019/6/20 17:47,10,1
2019/6/20 8:32,2019/6/20 12:07,5,1
2019/6/20 8:32,2019/6/20 18:15,10,1
2019/6/20 8:35,2019/6/20 17:54,10,1
2019/6/20 8:35,2019/6/20 18:06,10,1
2019/6/20 8:35,2019/6/20 11:37,5,1
2019/6/20 8:38,2019/6/20 18:54,10,1
2019/6/20 8:38,2019/6/20 17:46,10,1
2019/6/20 8:39,2019/6/20 17:53,10,1
2019/6/20 8:39,2019/6/20 18:03,10,1
2019/6/20 8:40,2019/6/20 17:51,10,1
2019/6/20 8:41,2019/6/20 17:34,10,1
2019/6/20 8:45,2019/6/20 17:18,10,1
2019/6/20 8:46,2019/6/20 17:46,10,1
2019/6/20 8:46,2019/6/20 17:18,0,1
2019/6/20 8:47,2019/6/20 8:48,0,1
2019/6/20 8:52,2019/6/20 12:27,5,1
2019/6/20 8:54,2019/6/20 15:26,10,1
2019/6/20 8:55,2019/6/20 12:04,5,1
2019/6/20 8:57,2019/6/20 18:51,10,1
2019/6/20 8:58,2019/6/20 13:07,5,1
2019/6/20 8:59,2019/6/20 18:03,10,1
